label,hand_mode,recorded_hand,R.Thumb,R.Index,R.Middle,R.Ring,R.Pinky,L.Thumb,L.Index,L.Middle,L.Ring,L.Pinky,aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4310,0.5090,-0.8340,0.2680,-0.4950,0.8860,-2.8524,6.8969,3.9180,0.6471,-0.7203,0.8057
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5630,0.5520,-1.0110,0.2720,-0.4900,0.8830,7.1676,5.1969,1.9280,0.1171,-0.9403,-0.1443
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5420,0.6050,-0.9670,0.2750,-0.4990,0.8850,6.0576,-21.1531,-5.7420,0.7971,-0.6403,0.5557
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4640,0.4640,-0.7990,0.2660,-0.4990,0.8680,13.5876,-37.3931,2.4080,0.1871,0.4397,2.0557
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3410,0.4490,-0.6470,0.2620,-0.5450,0.8880,18.6176,-27.2331,4.1480,1.4271,3.2797,5.4857
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2870,0.3660,-0.6070,0.2600,-0.5220,0.8930,-3.0324,-23.3731,-1.1420,0.8571,1.0597,3.3857
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2440,0.3530,-0.6070,0.2740,-0.4920,0.8960,-9.7424,7.3169,6.7680,0.4071,-2.2303,-1.7743
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3140,0.3970,-0.7390,0.2490,-0.5020,0.8800,-21.8024,31.2169,-1.7220,-0.7729,-1.4003,-1.3043
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4550,0.5220,-0.9320,0.2710,-0.4800,0.8830,-18.0824,42.6469,-0.1920,-0.1329,-3.3803,-2.5143
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6130,0.7210,-1.1190,0.2660,-0.5150,0.8980,-6.0324,20.1769,-1.3620,-1.5929,-1.5303,-1.2243
